Product ID,Product Position,Price,Competitor's Price,Promotion,Foot Traffic,Consumer Demographics,Product Category,Seasonal,Sales Volume
185809,End-cap,47.3,46.34,No,High,Families,Electronics,No,622
171520,End-cap,30.02,28.02,Yes,Low,Families,Electronics,Yes,2901
122926,End-cap,31.05,27.1,No,Low,Young adults,Food,No,867
150953,Front of Store,48.14,47.6,Yes,Low,Young adults,Food,Yes,2434
115873,End-cap,43.99,39.08,Yes,High,Seniors,Electronics,Yes,2606
115581,Aisle,48.63,46.11,No,Medium,College students,Clothing,Yes,2728
183634,Front of Store,25.95,21.98,Yes,Medium,Seniors,Clothing,Yes,2778
122484,Aisle,21.73,16.98,Yes,High,College students,Food,Yes,558
183574,Aisle,19,14.94,Yes,High,College students,Electronics,Yes,1752
185307,Front of Store,41.4,39.95,No,High,Families,Clothing,Yes,2743
118719,End-cap,31.62,27.6,No,Medium,College students,Food,Yes,1669
134788,Front of Store,36.11,34.17,No,High,College students,Food,No,2179
140142,Front of Store,14.5,13.62,Yes,Medium,Young adults,Food,No,606
153997,End-cap,15.27,14.61,No,High,College students,Electronics,Yes,1608
123230,Aisle,16.59,13.03,No,Medium,Young adults,Clothing,Yes,880
154676,Aisle,26.04,23.26,No,Low,College students,Electronics,No,943
152985,Aisle,6.25,2.86,Yes,Medium,Seniors,Clothing,Yes,1049
175584,Front of Store,10.57,8.54,No,Low,Young adults,Clothing,No,2084
147491,End-cap,20.09,19.82,No,Medium,College students,Clothing,No,1563
198283,End-cap,25.15,20.84,Yes,Medium,Seniors,Food,Yes,1558
141547,End-cap,23.27,19.05,No,High,Families,Food,No,1426
156342,Front of Store,38.94,37.62,Yes,High,Seniors,Food,Yes,1466
186083,End-cap,28.87,28.36,No,Low,Seniors,Food,Yes,624
171776,Aisle,34.06,31.39,Yes,Medium,College students,Food,No,1685
134429,Aisle,40.01,37.93,No,High,Seniors,Food,No,2914
172816,Aisle,14.36,12.26,No,Medium,Seniors,Food,Yes,1524
136272,End-cap,28.47,25.9,No,Low,Young adults,Clothing,Yes,2887
193227,End-cap,40.47,39.26,Yes,Low,Seniors,Electronics,Yes,1778
165786,End-cap,18.03,13.4,No,High,Families,Electronics,Yes,1278
174708,Front of Store,21.75,17.58,No,High,College students,Food,Yes,529
142257,Aisle,21.7,18.91,Yes,Medium,Seniors,Clothing,Yes,1180
126146,Aisle,34.72,32.73,No,High,Seniors,Electronics,No,2759
129134,Aisle,23.29,22.91,No,Medium,College students,Food,Yes,1831
129898,End-cap,10.33,6.98,No,Low,Seniors,Electronics,No,1866
189692,End-cap,14.58,12.26,Yes,Low,College students,Food,No,1553
154846,End-cap,35.78,35.35,Yes,Low,Families,Electronics,No,917
122307,End-cap,32.92,31.62,No,Low,Seniors,Clothing,No,702
182099,Aisle,35.29,31.65,Yes,Low,Families,Food,No,1978
159816,Front of Store,34.76,31.95,No,Medium,College students,Electronics,Yes,1961
165326,Aisle,8.86,3.91,No,Medium,Young adults,Clothing,No,1188
185154,Aisle,24.95,20.84,Yes,High,Young adults,Food,No,996
141330,Aisle,46.1,45.49,No,High,Seniors,Clothing,Yes,1915
158958,End-cap,5.62,2.52,No,High,Young adults,Clothing,No,903
155010,Aisle,45.12,42.21,Yes,Medium,Families,Electronics,Yes,729
135857,Aisle,36.02,34.82,No,Medium,Young adults,Electronics,Yes,2045
147690,Aisle,20.14,16.6,Yes,High,Families,Food,No,881
130321,End-cap,24.71,23.07,Yes,Low,College students,Clothing,No,2093
196752,End-cap,17.3,15.83,No,Medium,College students,Clothing,No,2227
181011,Aisle,8.9,4.06,Yes,High,Seniors,Food,Yes,994
139967,End-cap,28.7,24.82,No,High,College students,Electronics,No,2634
162699,End-cap,49.58,47.36,No,High,Young adults,Electronics,Yes,2732
119044,Aisle,36.67,32.79,No,High,College students,Food,Yes,1140
121348,End-cap,32.06,29,No,High,Seniors,Electronics,Yes,1008
163982,Front of Store,17.2,12.21,No,Medium,Families,Clothing,No,2685
185774,End-cap,7.33,2.63,Yes,High,College students,Clothing,Yes,1145
144651,Aisle,31.45,31.4,Yes,High,Families,Clothing,No,1791
195103,Aisle,41.79,41.5,Yes,High,Families,Food,No,2849
123047,Aisle,9.88,6.03,No,Low,Seniors,Food,Yes,2985
123077,Front of Store,16.27,13.48,No,Medium,Young adults,Electronics,No,1603
171860,Aisle,43.18,39.47,Yes,High,Young adults,Electronics,No,707
149487,Aisle,25.54,20.91,No,High,Families,Clothing,Yes,1258
168516,Front of Store,17.09,14.13,Yes,Medium,College students,Clothing,No,2168
177771,End-cap,37.72,36.32,Yes,Low,Young adults,Electronics,Yes,1764
172015,End-cap,33.93,30.5,Yes,Medium,College students,Electronics,Yes,2622
118985,Aisle,49.12,48.16,No,Medium,Young adults,Clothing,Yes,694
112194,Aisle,14.02,10.78,Yes,High,Young adults,Food,Yes,2187
113435,Aisle,6.72,3.47,No,Low,Seniors,Food,Yes,2973
159182,Front of Store,8.55,4.44,Yes,Medium,Young adults,Electronics,No,1014
199233,Aisle,13.99,13.2,Yes,Low,Families,Clothing,No,2222
137044,Aisle,46.2,45.42,No,Low,Seniors,Electronics,Yes,2534
154736,Front of Store,9.28,7.91,Yes,Medium,Families,Food,Yes,1466
141434,Front of Store,46.6,45.81,No,Low,Families,Clothing,Yes,2870
155659,Aisle,47.38,42.54,Yes,Medium,Seniors,Food,Yes,2654
168643,End-cap,33.26,32.47,No,High,Seniors,Food,No,2166
175357,End-cap,23.04,20.07,No,Medium,Families,Clothing,Yes,867
137530,Front of Store,45.45,41.12,No,Medium,College students,Food,No,1522
153482,Aisle,39.56,36.33,Yes,Low,Young adults,Electronics,No,2969
112593,Aisle,41.98,41.17,No,Medium,Young adults,Food,Yes,2651
110241,End-cap,28.62,27,No,Low,College students,Electronics,No,2353
144970,Front of Store,44.16,40.38,No,High,Families,Food,Yes,1461
114822,Front of Store,17.98,16.78,Yes,Low,Young adults,Electronics,No,1698
153452,Front of Store,34.49,31.14,Yes,Medium,College students,Electronics,Yes,1563
144264,End-cap,14.56,11.4,Yes,Low,Families,Electronics,Yes,2516
128749,Front of Store,44.71,42.78,Yes,Medium,Seniors,Food,No,1061
147955,End-cap,19.47,14.6,No,Medium,College students,Food,Yes,1898
142210,Front of Store,42.69,38.51,Yes,High,Families,Clothing,No,1959
110696,Aisle,33.2,32.63,No,High,Families,Clothing,No,2630
111826,Front of Store,29.04,27.7,No,Low,Seniors,Food,No,1926
118116,End-cap,38.6,38.23,No,Medium,Young adults,Clothing,No,1857
152727,Front of Store,15.44,13.43,No,Low,College students,Clothing,Yes,1383
198291,Front of Store,21.52,19.8,Yes,Medium,Seniors,Food,No,2475
136227,End-cap,18.39,13.66,No,Medium,College students,Clothing,Yes,2452
144031,End-cap,19.87,19.74,No,High,Families,Electronics,Yes,1470
198924,End-cap,22.87,19.29,Yes,High,College students,Clothing,Yes,776
187922,Front of Store,17.82,17.31,No,Medium,Families,Clothing,Yes,1688
168448,End-cap,44.19,40.88,Yes,Medium,College students,Food,Yes,2926
192111,Aisle,20.88,17.54,No,Low,Seniors,Electronics,No,737
185466,Aisle,14.83,14.72,No,High,Families,Electronics,No,509
174277,End-cap,20.76,20.72,No,Medium,Young adults,Food,Yes,2343
158519,Aisle,16.41,11.61,Yes,Low,Families,Electronics,No,1986
178624,Front of Store,23.22,20.6,No,Medium,Young adults,Food,No,1821
123728,Aisle,11.53,9.07,Yes,High,Seniors,Electronics,No,2669
197954,Aisle,27.06,22.66,Yes,Low,College students,Food,No,2391
133328,Front of Store,16.63,12.63,No,Medium,Young adults,Food,Yes,1241
145345,End-cap,37.29,36.95,Yes,High,Young adults,Clothing,No,869
116054,Front of Store,43.59,39.42,No,Medium,College students,Electronics,Yes,2931
173141,Front of Store,16.63,15.78,Yes,Medium,Families,Electronics,Yes,1721
178180,Aisle,25.99,24.45,Yes,Medium,College students,Electronics,No,581
129418,End-cap,20.06,16.58,No,Medium,College students,Clothing,Yes,707
188708,Front of Store,26.67,25.1,Yes,Medium,Young adults,Food,Yes,666
132833,Aisle,31.79,28.82,Yes,Medium,College students,Electronics,No,642
146914,Front of Store,41.24,36.64,No,Low,Seniors,Electronics,No,2745
113624,Front of Store,47.84,44.86,No,Medium,Families,Food,No,2478
180250,Front of Store,12.65,12.61,No,Low,Families,Food,Yes,2906
137287,Aisle,46.2,45.85,Yes,High,Families,Food,Yes,611
150836,End-cap,34.97,31.08,No,High,Young adults,Food,Yes,734
151474,End-cap,29.23,26.88,Yes,High,Families,Clothing,Yes,2366
119803,End-cap,43.26,40.82,No,Low,College students,Food,Yes,1580
115986,Front of Store,10.16,6.72,Yes,Medium,Seniors,Electronics,Yes,1971
181896,Front of Store,10.82,6.8,No,Low,Families,Food,Yes,582
115036,End-cap,45.34,41.26,Yes,Low,Young adults,Food,No,961
179683,End-cap,5.58,3.41,Yes,Medium,Families,Clothing,Yes,1847
151421,Front of Store,26.86,22.38,No,Low,Seniors,Food,Yes,1716
169867,End-cap,35.27,33.42,No,Low,Seniors,Electronics,No,1095
191946,Aisle,8.84,8.82,No,Medium,Young adults,Electronics,Yes,1507
165630,Front of Store,36.42,31.86,Yes,Medium,Young adults,Food,No,2381
173122,Front of Store,15.04,10.96,Yes,High,Families,Electronics,Yes,1299
137617,End-cap,46.48,43.92,No,Medium,Young adults,Electronics,Yes,931
181415,Aisle,44,42.4,No,Medium,Families,Food,Yes,2179
141652,End-cap,12.79,11.24,No,High,Young adults,Food,Yes,1634
161479,End-cap,25.99,23.59,Yes,Medium,Seniors,Food,No,1381
152924,End-cap,19.26,15.59,Yes,High,Families,Clothing,No,845
176510,End-cap,46.46,43.44,No,Medium,Seniors,Food,No,2075
156390,End-cap,30.51,25.84,No,Medium,College students,Food,No,2962
177033,Aisle,5.08,3.54,No,Medium,Young adults,Clothing,No,660
133753,Front of Store,30.11,26.52,Yes,Medium,Young adults,Electronics,Yes,1418
165841,Aisle,35.69,31.05,Yes,High,Seniors,Food,Yes,2058
183061,End-cap,33.67,30.14,No,High,College students,Clothing,No,2678
125175,Front of Store,43.43,41.7,No,Low,Seniors,Electronics,No,1212
115464,Aisle,31.14,28.57,No,Medium,College students,Food,No,1001
117231,End-cap,47.65,46.81,No,High,Young adults,Food,No,818
154948,End-cap,35.18,34.52,Yes,Medium,Families,Food,Yes,1549
197375,Aisle,17.24,16.93,No,Medium,Seniors,Electronics,No,1135
191131,Front of Store,17.29,12.32,No,Low,Seniors,Food,Yes,1833
131682,Aisle,41.89,38.32,Yes,Medium,Seniors,Food,Yes,2618
196276,End-cap,32.26,32.14,No,Medium,Young adults,Electronics,No,1046
190412,Aisle,7.35,4.09,Yes,Medium,Young adults,Electronics,Yes,2656
149903,End-cap,38.17,36.06,Yes,High,Families,Clothing,Yes,2673
189131,Aisle,19.12,16.5,Yes,Low,College students,Food,No,2424
148327,Front of Store,31.77,30.3,Yes,Low,Young adults,Electronics,Yes,1717
189088,Aisle,15.93,14.41,No,Low,Seniors,Electronics,Yes,2116
143305,Aisle,13.33,11.8,No,Medium,Seniors,Food,Yes,2880
180943,Front of Store,17.48,13.88,No,High,College students,Clothing,Yes,2734
152059,Front of Store,17.05,12.61,No,High,Seniors,Clothing,No,1091
133691,Aisle,49.8,48.64,No,High,Families,Electronics,No,2919
161644,End-cap,28.16,23.86,No,High,Young adults,Food,Yes,1145
132643,Aisle,44.21,43.36,No,High,Families,Food,Yes,566
162317,End-cap,21.33,18.04,No,Medium,Young adults,Food,Yes,2517
128592,Front of Store,11.29,10.38,No,Medium,Young adults,Food,No,1086
192892,Front of Store,35.43,33.8,Yes,High,Young adults,Food,Yes,2623
197147,Front of Store,44.35,44.32,No,Medium,Families,Food,No,2205
130871,Front of Store,13.89,10.9,No,Low,College students,Food,Yes,707
184314,Aisle,29.6,25.68,No,Low,Young adults,Clothing,No,2689
131922,Front of Store,40.96,37.77,Yes,Low,College students,Electronics,Yes,1544
130546,End-cap,41.34,38.01,Yes,Medium,Families,Food,Yes,2776
167541,End-cap,20.15,15.96,Yes,Medium,Seniors,Clothing,Yes,2054
165128,Front of Store,5.8,2.21,Yes,Medium,Families,Food,No,1242
126255,Front of Store,23.1,22.97,Yes,Low,Seniors,Electronics,Yes,1195
176976,End-cap,41.72,41.7,No,Low,Seniors,Clothing,Yes,2825
185599,Aisle,24.04,19.71,No,Low,Seniors,Food,No,2656
167273,End-cap,5.55,3.4,No,Medium,Families,Food,No,1598
189296,End-cap,39,34.9,Yes,High,Families,Clothing,No,1452
125082,End-cap,29.75,28.24,No,Low,College students,Electronics,No,1446
116920,Aisle,32.25,29.15,Yes,High,Seniors,Clothing,No,1634
111320,End-cap,44.51,43.38,No,Medium,Seniors,Clothing,Yes,1098
172247,End-cap,11.85,11,No,Medium,Families,Clothing,No,867
143462,End-cap,33.11,29.2,No,High,Seniors,Food,No,2329
125637,Front of Store,24.67,21.83,No,Low,Seniors,Clothing,Yes,1797
115827,End-cap,8.9,5.4,Yes,Medium,Families,Clothing,Yes,2636
183225,End-cap,37.72,37.14,Yes,Low,Young adults,Food,No,2659
133283,Aisle,30.44,28.74,Yes,High,Young adults,Electronics,No,1937
164389,Front of Store,23.18,19.44,No,Low,Families,Electronics,Yes,946
163108,Aisle,9.48,8.56,No,Low,Seniors,Clothing,Yes,2015
160121,Aisle,45.89,42.27,Yes,Medium,Young adults,Food,Yes,1826
141116,Front of Store,13.57,13.42,Yes,Low,College students,Clothing,Yes,2175
157901,End-cap,44.95,44.81,Yes,High,Seniors,Clothing,No,2429
165017,Aisle,29.79,28.21,Yes,Medium,Seniors,Food,Yes,2257
165689,End-cap,41.01,39.78,No,Medium,Families,Food,No,696
172370,End-cap,49.94,48.76,No,High,Young adults,Food,No,1789
149539,End-cap,6.23,4.53,No,Medium,Seniors,Electronics,No,2203
149127,Front of Store,46.45,45.65,No,High,Young adults,Food,No,2727
199887,Front of Store,29.76,29.19,No,High,Seniors,Food,Yes,1109
166103,End-cap,21.8,21.43,Yes,Low,Young adults,Clothing,Yes,2428
144850,Front of Store,25.49,24.92,No,Medium,Seniors,Food,No,2190
139746,Aisle,14.04,11.23,Yes,High,Young adults,Food,Yes,699
177685,Aisle,29.68,28.94,No,Low,Young adults,Food,No,2204
166728,Aisle,25.92,23.68,Yes,High,College students,Electronics,No,542
116065,Front of Store,36.88,35.72,Yes,Medium,Seniors,Food,Yes,2912
110033,Front of Store,40.15,39.38,Yes,Low,Families,Electronics,Yes,1998
164617,Front of Store,41.6,38.19,Yes,High,Seniors,Electronics,No,577
112314,Aisle,42.47,41.94,Yes,Low,College students,Electronics,No,1370
